sentence,Time,World states,Events,Space,Physical Entities,Values and quantities,Classes and instances,Sets
"""If you have a buzz cut, you can put your hair in a pony tail to keep it out of your eyes.""",0,0,0,0,1,0,1,0
"""In most buildings, the second floor is below the first floor.""",0,0,0,1,0,1,0,0
"""Cat food is probably on the menu at most restaurants.""",0,0,0,0,1,0,0,1
"""Most things without eyes don't cry.""",0,0,0,0,1,0,1,1
"""If you want an athletic physique, you should probably try to significantly increase the amount of fat on your body.""",0,0,0,0,0,0,1,0
"""A cowboy hat won't shade your face from the sun.""",0,0,0,0,1,0,1,0
"""Viruses have mouths.""",0,0,0,0,0,0,1,0
"""Those not yet born cannot be senior executives.""",0,0,0,0,0,0,1,1
"""If clothing item A is worn over clothing item B, then you do not put on A before putting on B.""",1,0,1,1,0,0,0,0
"""Cooked noodles are not rigid.""",0,0,0,0,1,0,1,0
"""The Atlantic Ocean is a body of water.""",0,0,0,0,1,0,1,1
"""Most doctors haven't gone to college.""",0,0,0,0,0,0,1,1
"""You have to decide to take a breath before you can do it.""",1,0,1,0,1,0,0,0
"""Mixing cream in coffee doesn't change its color.""",0,0,0,1,1,0,0,0
"""If you are drinking beer, you are drinking something carbonated.""",0,0,0,0,1,0,1,1
"""Internal parts of opaque objects are not visible from the outside.""",0,0,0,1,1,0,0,0
"""Phoenix, AZ currently has both a dry climate and a rainy climate.""",0,1,0,0,1,0,0,1
"""Most people are excited to learn they caught the flu on vacation.""",1,0,1,0,0,0,1,1
"""To see what is on the other side of a glass window, you usually have to open it.""",0,0,0,1,1,0,0,0
"""A feeling of love is the opposite of a feeling of hate.""",0,0,0,0,0,0,0,1
"""People don't like things they find disgusting.""",0,0,0,0,0,0,1,1
"""Wearing gloves will help keep your feet from getting cold.""",0,0,0,0,1,0,1,0
"""In a typical house, there are no rooms that have been designed for a particular purpose.""",0,0,0,1,0,0,1,1
"""Sue couldn't afford the free gift because it was too expensive.""",0,0,0,0,0,0,1,0
"""When changing a tire, the tire is removed after the automobile is raised with a jack.""",1,0,1,0,0,0,0,0
"""Winter coats are for summer.""",0,0,0,0,0,0,1,1
"""No utensil is a spoon.""",0,0,0,0,0,0,0,1
"""Blind people cannot drive.""",0,0,0,0,1,0,1,0
"""Kitchen tools are intended to be used in preparing food or drinks.""",0,0,1,0,0,0,1,1
"""You don't expect ice rinks to be slippery.""",0,0,0,0,1,0,0,0
"""Every popsicle is frozen food.""",0,0,0,0,1,0,1,1
"""If A creates B, then A must exist before B.""",1,0,1,0,0,0,0,0
"""Styrofoam peanuts are too light to be used as packaging material.""",0,0,0,0,1,0,1,1
"""Animal skin is frequently completely transparent.""",0,0,0,0,1,0,0,0
"""At fast food restaurants you typically order at a counter or a drive-through.""",0,0,0,0,0,0,1,0
"""No spicy thing is bland.""",0,0,0,0,0,0,1,1
