Sentence,World States,Sets,Classes and Instances,Values and Quantities,Space,Time,Physical Entities,Events
True or False: Horses live in the sea.,0,1,0,0,0,0,1,0
True or False: The dead can walk.,0,0,1,0,0,0,1,0
True or False: You usually can't watch TV during a power outage.,1,0,0,0,0,0,1,0
"True or False: If Joy has a bachelor's degree, then she probably went to college.",0,0,1,0,0,0,0,1
True or False: Pilots are more likely than farmers to fly airplanes.,0,1,1,0,0,0,0,0
True or False: A cutting board can be used as a tray.,0,1,0,0,0,0,1,0
True or False: A customer would like being served a glass of water with a cockroach in it.,0,1,0,0,0,0,0,1
True or False: Flashlights work without being plugged in.,0,0,1,0,0,0,1,0
True or False: A parking garage is larger than an automobile.,0,1,0,0,1,0,0,0
True or False: Vocal cords are necessary in order to sing.,0,0,1,0,0,0,1,0
True or False: Every spoon is a utensil.,0,1,1,0,0,0,0,0
True or False: Buildings designed to provide shelter for humans are almost never edible.,0,1,0,0,0,0,1,0
True or False: You can't drown a fish in water.,0,1,0,0,0,0,1,0
True or False: Carpenters find hammers useful for driving objects into other objects.,0,0,1,0,0,0,1,0
True or False: The country Argentina can cry.,0,0,1,0,0,0,1,0
True or False: Wool scarves are often salad ingredients.,0,1,0,0,0,0,1,0
True or False: Ice rinks are made primarily of ice.,0,0,1,0,0,0,1,0
True or False: Kitchens are typically rooms dedicated to preparing food.,1,0,1,0,0,0,0,0
True or False: You could play ice hockey outside in the summer.,1,0,0,0,0,0,1,0
True or False: Beer does not contain fizz or bubbles.,0,0,1,0,0,0,1,0
True or False: Most people like doing things that cause them discomfort.,0,0,1,0,0,0,0,1
True or False: You put shoes on before socks.,0,0,0,0,0,1,0,1
True or False: A cap with no brim provides lots of shade from the bright sun.,0,0,1,0,0,0,1,0
True or False: The front doors of busy businesses open and close frequently.,1,0,1,0,0,0,0,0
True or False: The sound of a balloon popping can be loud.,0,1,0,0,0,0,1,0
True or False: You can serve orange juice in a coffee mug.,0,1,0,0,0,0,1,0
True or False: Coffee mixed with cream is black.,0,0,0,0,0,0,1,1
True or False: Cuddling is typically an expression of hatred.,0,1,1,0,0,0,0,0
True or False: A puppy is older than an adult dog.,0,0,1,0,0,1,0,0
True or False: People with buzz cuts have very long hair.,0,0,1,0,0,0,1,0
"True or False: If a chicken lays an egg, then the chicken existed before the egg.",1,0,0,0,0,1,0,0
"True or False: Generally, winter coats are warm clothing.",0,1,1,0,0,0,0,0
True or False: A fish can ride a bicycle.,0,0,1,0,0,0,1,0
True or False: Snakes can juggle.,0,0,1,0,0,0,1,0
"True or False: If you throw a wine glass against a wooden floor, it will probably shatter.",0,0,0,0,0,0,1,1
True or False: Absolutely everyone likes blueberries.,0,1,1,0,0,0,0,0
True or False: Ice water is colder than ice.,0,1,0,0,0,0,1,0
True or False: Stabbing someone typically expresses love.,0,1,0,0,0,0,0,1
"True or False: If a cup contains hot coffee, then the cup is presumably right side up.",1,0,0,0,0,0,1,0
True or False: An adult can walk and chew gum at the same time.,1,0,0,0,0,0,1,0
True or False: People like being complimented.,0,1,0,0,0,0,0,1
True or False: You can stab someone with a wet noodle.,0,1,0,0,0,0,1,0
True or False: Stoves are meant to be used in cooking food.,0,1,1,0,0,0,0,0
True or False: A wax candle would work even if it had no wick.,0,0,1,0,0,0,1,0
"True or False: If something is a free gift, you don't have to pay for it.",0,1,1,0,0,0,0,0
True or False: You can use a cotton ball as a paperweight.,0,0,1,0,0,0,1,0
