,question,guid,run_id,Time,World states,Events,Space,Physical Entities,Values and quantities,Classes and instances,Sets,label,prediction,confidence,robertascore
a,True or False: Horses live in the sea.,3b666060-50ae-13d6-8052-8f17144fbbc1,411281,0,1,1,1,4,0,3,2,1,0,0.4990041256,0.007411515123
a,True or False: The dead can walk.,7d135b80-5518-13d6-8052-8f17144fbbc1,413952,0,3,1,0,4,0,3,2,1,1,0.7384893894,0.06330317102
a,True or False: You usually can't watch TV during a power outage.,a281abae-4a20-13d6-80fb-b947c0cf9f4c,410907,4,4,4,0,4,0,1,0,0,0,0.9838760495,0.1075597174
a,"True or False: If Joy has a bachelor's degree, then she probably went to college.",c0767cee-4a6f-13d6-80fb-b947c0cf9f4c,410986,3,4,5,0,1,0,2,0,0,0,0.8649154902,2.55E-05
a,True or False: Pilots are more likely than farmers to fly airplanes.,ff83f620-5099-13d6-8052-8f17144fbbc1,411215,0,2,1,0,2,0,5,4,0,1,0.450478673,0.003660802303
a,True or False: A cutting board can be used as a tray.,4f805980-59a9-13d6-8052-8f17144fbbc1,415306,0,0,0,1,5,0,3,4,0,1,0.3575716019,0.003360480572
a,True or False: A customer would like being served a glass of water with a cockroach in it.,b352598e-48d0-13d6-80fb-b947c0cf9f4c,410805,0,2,4,2,4,0,2,1,1,1,0.9794743061,0.001845433045
a,True or False: Flashlights work without being plugged in.,a31ade6e-4a20-13d6-80fb-b947c0cf9f4c,410909,0,2,1,0,5,0,4,2,0,0,0.8606458306,0.1659858908
a,True or False: A parking garage is larger than an automobile.,ee3f6860-5097-13d6-8052-8f17144fbbc1,411205,0,1,0,5,4,0,4,1,0,1,0.3597533703,0.07880656214
a,True or False: Vocal cords are necessary in order to sing.,a3608c8e-48b8-13d6-80fb-b947c0cf9f4c,410752,0,1,3,0,4,0,2,1,0,0,0.7476997375,0.04951473208
a,True or False: Every spoon is a utensil.,0059f06e-48ec-13d6-80fb-b947c0cf9f4c,410863,0,0,0,0,3,0,4,3,0,0,0.7879465818,0.001651713462
a,True or False: Buildings designed to provide shelter for humans are almost never edible.,3db79aee-5051-13d6-80fb-b947c0cf9f4c,411143,0,1,0,2,4,0,3,4,0,0,0.7843349576,0.1321445933
a,True or False: You can't drown a fish in water.,69bcc5ae-48ba-13d6-80fb-b947c0cf9f4c,410762,0,0,2,3,5,0,2,2,0,0,0.8072253466,0.02784616618
a,True or False: Carpenters find hammers useful for driving objects into other objects.,923113ce-48be-13d6-80fb-b947c0cf9f4c,410789,0,0,1,3,5,0,4,1,0,0,0.7217100859,0.1836738562
a,True or False: The country Argentina can cry.,0cdeed2e-4894-13d6-80fb-b947c0cf9f4c,410600,0,2,3,0,3,0,4,1,1,1,0.6772285104,0.01646163549
a,True or False: Wool scarves are often salad ingredients.,aba18460-509d-13d6-8052-8f17144fbbc1,411232,0,0,0,0,4,0,3,4,1,1,0.5110152364,0.0005078336964
a,True or False: Ice rinks are made primarily of ice.,a0be4f20-58a8-13d6-8052-8f17144fbbc1,415223,0,0,0,0,5,0,3,0,0,1,0.4219198227,0.03060074391
a,True or False: Kitchens are typically rooms dedicated to preparing food.,63481d2e-4a7a-13d6-80fb-b947c0cf9f4c,411006,0,1,2,1,3,0,3,3,0,1,0.4604367614,0.1961452444
a,True or False: You could play ice hockey outside in the summer.,a014efc0-58a8-13d6-8052-8f17144fbbc1,415220,3,4,3,1,2,0,1,1,1,1,0.8916236758,0.1372846412
a,True or False: Beer does not contain fizz or bubbles.,52934040-5442-13d6-8052-8f17144fbbc1,413800,0,0,0,1,4,0,4,2,1,1,0.5220303535,0.07899335587
a,True or False: Most people like doing things that cause them discomfort.,2d5da840-5584-13d6-8052-8f17144fbbc1,414676,0,2,4,0,0,0,1,4,1,1,0.7481244802,0.00741021643
a,True or False: You put shoes on before socks.,a4784de0-539a-13d6-8052-8f17144fbbc1,412169,4,2,4,1,2,0,1,0,1,0,0.2551844716,0.08124203152
a,True or False: A cap with no brim provides lots of shade from the bright sun.,9f6243c0-53d5-13d6-8052-8f17144fbbc1,412342,0,0,1,1,4,0,3,2,1,1,0.8206718564,0.1110248949
a,True or False: The front doors of busy businesses open and close frequently.,281b85e0-50ad-13d6-8052-8f17144fbbc1,411275,1,2,2,0,4,0,3,2,0,0,0.9127542973,0.007560192415
