part,question,guid,run_id,Time,World states,Events,Space,Physical Entities,Values and quantities,Classes and instances,Sets,,Confidence Rating
a,True or False: Horses live in the sea.,3b666060-50ae-13d6-8052-8f17144fbbc1,411281,,,,,4,,4,,,1
a,True or False: The dead can walk.,7d135b80-5518-13d6-8052-8f17144fbbc1,413952,,2,,,5,,4,,,1
a,True or False: You usually can't watch TV during a power outage.,a281abae-4a20-13d6-80fb-b947c0cf9f4c,410907,2,4,2,,5,,4,,,3
a,"True or False: If Joy has a bachelor's degree, then she probably went to college.",c0767cee-4a6f-13d6-80fb-b947c0cf9f4c,410986,3,4,3,,,,5,3,,3
a,True or False: Pilots are more likely than farmers to fly airplanes.,ff83f620-5099-13d6-8052-8f17144fbbc1,411215,,3,,,2,,5,3,,3
a,True or False: A cutting board can be used as a tray.,4f805980-59a9-13d6-8052-8f17144fbbc1,415306,,,,,4,,3,4,,3
a,True or False: A customer would like being served a glass of water with a cockroach in it.,b352598e-48d0-13d6-80fb-b947c0cf9f4c,410805,,,2,2,,,3,5,,1
a,True or False: Flashlights work without being plugged in.,a31ade6e-4a20-13d6-80fb-b947c0cf9f4c,410909,,3,,,4,,3,4,,3
a,True or False: A parking garage is larger than an automobile.,ee3f6860-5097-13d6-8052-8f17144fbbc1,411205,,,,5,3,,5,,,5
a,True or False: Vocal cords are necessary in order to sing.,a3608c8e-48b8-13d6-80fb-b947c0cf9f4c,410752,,,3,,4,,,4,,3
a,True or False: Every spoon is a utensil.,0059f06e-48ec-13d6-80fb-b947c0cf9f4c,410863,,,,,,,5,,,5
a,True or False: Buildings designed to provide shelter for humans are almost never edible.,3db79aee-5051-13d6-80fb-b947c0cf9f4c,411143,,,,3,3,,3,4,,5
a,True or False: You can't drown a fish in water.,69bcc5ae-48ba-13d6-80fb-b947c0cf9f4c,410762,,,3,2,4,,,4,,3
a,True or False: Carpenters find hammers useful for driving objects into other objects.,923113ce-48be-13d6-80fb-b947c0cf9f4c,410789,,,,4,4,,3,3,,3
a,True or False: The country Argentina can cry.,0cdeed2e-4894-13d6-80fb-b947c0cf9f4c,410600,,,,,3,,4,4,,5
a,True or False: Wool scarves are often salad ingredients.,aba18460-509d-13d6-8052-8f17144fbbc1,411232,,,,,3,,4,4,,5
a,True or False: Ice rinks are made primarily of ice.,a0be4f20-58a8-13d6-8052-8f17144fbbc1,415223,,,,,5,,,,,5
a,True or False: Kitchens are typically rooms dedicated to preparing food.,63481d2e-4a7a-13d6-80fb-b947c0cf9f4c,411006,,,,,,,4,4,,3
a,True or False: You could play ice hockey outside in the summer.,a014efc0-58a8-13d6-8052-8f17144fbbc1,415220,3,4,,3,,,4,3,,3
a,True or False: Beer does not contain fizz or bubbles.,52934040-5442-13d6-8052-8f17144fbbc1,413800,,,,,5,,3,,,5
a,True or False: Most people like doing things that cause them discomfort.,2d5da840-5584-13d6-8052-8f17144fbbc1,414676,,,4,,,,4,,,1
a,True or False: You put shoes on before socks.,a4784de0-539a-13d6-8052-8f17144fbbc1,412169,2,4,4,,3,,,,,5
a,True or False: A cap with no brim provides lots of shade from the bright sun.,9f6243c0-53d5-13d6-8052-8f17144fbbc1,412342,,,,,5,,4,3,,1
a,True or False: The front doors of busy businesses open and close frequently.,281b85e0-50ad-13d6-8052-8f17144fbbc1,411275,,4,4,,5,,3,,,5
a,True or False: The sound of a balloon popping can be loud.,d8d7400e-4a6d-13d6-80fb-b947c0cf9f4c,410984,,3,,,3,,,3,,3
a,True or False: You can serve orange juice in a coffee mug.,edde85ce-48e8-13d6-80fb-b947c0cf9f4c,410851,,,3,4,4,,4,,,5
a,True or False: Coffee mixed with cream is black.,9f8de7a0-53d5-13d6-8052-8f17144fbbc1,412348,,4,3,,4,,,,,5
a,True or False: Cuddling is typically an expression of hatred.,ca2b6c0e-489e-13d6-80fb-b947c0cf9f4c,410657,,,3,,,,4,5,,1
a,True or False: A puppy is older than an adult dog.,0d86ba0e-4a01-13d6-80fb-b947c0cf9f4c,410890,4,,,,4,,4,,,5
a,True or False: People with buzz cuts have very long hair.,9e0aa300-53d5-13d6-8052-8f17144fbbc1,412274,,,,,4,3,3,4,,5
a,"True or False: If a chicken lays an egg, then the chicken existed before the egg.",6ae21ba0-5067-13d6-8052-8f17144fbbc1,411175,4,5,4,,,,2,4,,5
a,"True or False: Generally, winter coats are warm clothing.",1d2bc260-5366-13d6-8052-8f17144fbbc1,412076,,,,,,,4,4,,5
a,True or False: A fish can ride a bicycle.,d89e2eae-4a6d-13d6-80fb-b947c0cf9f4c,410983,,,,,4,,4,4,,1
a,True or False: Snakes can juggle.,6ef53080-5515-13d6-8052-8f17144fbbc1,413943,,,,,4,,4,4,,1
a,"True or False: If you throw a wine glass against a wooden floor, it will probably shatter.",4e86320e-4a84-13d6-80fb-b947c0cf9f4c,411046,,3,3,3,4,,,3,,5
a,True or False: Absolutely everyone likes blueberries.,76ec194e-48bc-13d6-80fb-b947c0cf9f4c,410770,,,,,,,4,4,,5
a,True or False: Ice water is colder than ice.,293deb18-5d0f-13d6-80dc-9b4eb6100834,416942,,,,,3,2,3,,,5
a,True or False: Stabbing someone typically expresses love.,237b7f2e-489f-13d6-80fb-b947c0cf9f4c,410661,,,3,,,,4,5,,1
a,"True or False: If a cup contains hot coffee, then the cup is presumably right side up.",518952ee-48a2-13d6-80fb-b947c0cf9f4c,410671,,2,,4,,,3,,,3
a,True or False: An adult can walk and chew gum at the same time.,3fa9564e-4a52-13d6-80fb-b947c0cf9f4c,410921,4,4,4,,,,,3,,1
a,True or False: People like being complimented.,f798354e-48d7-13d6-80fb-b947c0cf9f4c,410835,,2,3,,,,3,3,,1
a,True or False: You can stab someone with a wet noodle.,9dddf320-50b3-13d6-8052-8f17144fbbc1,411304,,3,,2,3,,2,2,,3
a,True or False: Stoves are meant to be used in cooking food.,42f658c0-5695-13d6-8052-8f17144fbbc1,415183,,,,,3,,3,5,,5
a,True or False: A wax candle would work even if it had no wick.,9ebc3fc0-53d5-13d6-8052-8f17144fbbc1,412301,,3,3,,5,,,,,3
a,"True or False: If something is a free gift, you don't have to pay for it.",3375aa6e-48d4-13d6-80fb-b947c0cf9f4c,410824,,,3,,,3,,4,,3
a,True or False: You can use a cotton ball as a paperweight.,0b3ea600-59ae-13d6-8052-8f17144fbbc1,415315,,,,,5,,,5,,5
a,True or False: Women typically put on makeup without a mirror.,9fd94880-53d5-13d6-8052-8f17144fbbc1,412370,,3,3,,3,,3,,,1
a,True or False: Refrigerators are used to keep things cool.,809cd90e-48b4-13d6-80fb-b947c0cf9f4c,410724,,3,3,,,,,4,,3
a,True or False: A moth ball can be used as a volley ball in a pinch.,28becac0-50ad-13d6-8052-8f17144fbbc1,411279,,,,4,3,,,3,,1
a,True or False: You can see someone's smile even when they are wearing a surgical mask.,59b4fde0-53d0-13d6-8052-8f17144fbbc1,412246,,3,3,,3,,,3,,1
a,True or False: A customer would like being offered free dessert.,326524ce-48d4-13d6-80fb-b947c0cf9f4c,410820,,3,3,,,3,,3,,1
a,"True or False: Every cotton ball is a lightweight, relatively small object.",0b7d83c0-59ae-13d6-8052-8f17144fbbc1,415316,,,,4,3,,4,,,5
a,True or False: You typically can't see what's inside of a sealed can.,62b4a16e-48a6-13d6-80fb-b947c0cf9f4c,410694,,2,2,5,,,3,3,,5
a,True or False: A few weeks is greater than a few minutes.,3bf61d40-50ae-13d6-8052-8f17144fbbc1,411285,5,,,,,3,,,,5
a,True or False: Grandfather clocks are bigger than pocket watches.,f0efcbce-4898-13d6-80fb-b947c0cf9f4c,410626,,,,4,,5,,,,5
a,"True or False: When dining at a fast-food restaurant, you are usually seated before ordering food.",e0a0ff00-53a5-13d6-8052-8f17144fbbc1,412216,,5,5,4,,,4,,,3
a,"True or False: If you spill grape soda on white clothes, it usually won't stain them.",9f29cea0-53d5-13d6-8052-8f17144fbbc1,412331,,4,4,,,,3,4,,3
a,"True or False: When Duke changed the tire on his car, he lifted the car with the jack after removing the old tire.",e1d4e92e-4a75-13d6-80fb-b947c0cf9f4c,410988,,5,5,,,,4,4,,3
a,True or False: Dolphins sleep in bedrooms.,42d2a0a0-50a1-13d6-8052-8f17144fbbc1,411247,,,5,,,,3,3,,3
a,"True or False: Generally, people with athletic physiques are not overweight.",57e50e38-5b89-13d6-80dc-9b4eb6100834,415517,,,,,,,2,5,,5
a,True or False: Sand castles are almost always bigger than people .,79bfb1b8-5bc3-13d6-80dc-9b4eb6100834,416285,,,,5,4,,,,,5
a,True or False: Being sick is usually unpleasant for people.,e260122e-4a75-13d6-80fb-b947c0cf9f4c,410990,,5,,,,,3,4,,1
a,"True or False: If Joy is on the first floor, and Rob is on the second floor, then Joy is above Rob.",74fac4a0-56a4-13d6-8052-8f17144fbbc1,415217,,,,5,,,3,,,5
a,True or False: Bedroom dressers are typically used to store clothes.,e23c5d8e-4a75-13d6-80fb-b947c0cf9f4c,410989,,,,4,4,,3,,,3
a,True or False: A human would not mind touching a burner while the stove is on.,42b02800-5695-13d6-8052-8f17144fbbc1,415181,4,4,4,,4,,,3,,1
a,True or False: Styrofoam peanuts are often used to protect fragile objects during transport.,1ba84018-5d03-13d6-80dc-9b4eb6100834,416837,4,3,3,,4,,3,3,,5
a,True or False: Objects usually cannot fit inside anything that is smaller than they are.,c2c5f9ae-4897-13d6-80fb-b947c0cf9f4c,410625,,,,5,,,3,,,5
a,"True or False: When you encounter a bird, you expect to be able to see its heart.",0373de78-5be4-13d6-80dc-9b4eb6100834,416339,,3,3,,3,,3,,,1
a,True or False: Pet food is not intended for human consumption.,b6c5e1ce-4896-13d6-80fb-b947c0cf9f4c,410618,,,,,,,3,4,,3
a,True or False: Viruses can't sing.,a91c050e-4a57-13d6-80fb-b947c0cf9f4c,410939,,,,,,,,5,,1
a,True or False: Gloves are typically worn on feet.,a0330140-53d5-13d6-8052-8f17144fbbc1,412389,,,,,,,3,4,,3
a,"True or False: Animal fur, feathers, and skin are usually not see through.",03b3a698-5be4-13d6-80dc-9b4eb6100834,416341,,,,3,5,,4,,,3
a,"True or False: If someone is allergic to dairy, they shouldn't drink milk.",f0da3620-5058-13d6-8052-8f17144fbbc1,411154,,,3,,,,4,3,,3
a,True or False: The same region cannot have both a dry climate and a rainy climate at the same time.,98da8ee0-59bb-13d6-8052-8f17144fbbc1,415463,,,,,3,,,5,,5
a,"True or False: If someone is capable of playing ice hockey, are they capable of ice skating.",30150ba0-5098-13d6-8052-8f17144fbbc1,411200,,3,3,,,,,4,,3
a,True or False: You are more likely to find a book in a library than in a tree.,932de1f8-5cd9-13d6-80dc-9b4eb6100834,416611,,,,4,,,,3,,5
a,True or False: A stove burner that is on is usually too hot to touch.,43b95aa0-5695-13d6-8052-8f17144fbbc1,415185,,4,4,,4,,,,,1
a,True or False: Chickens are typically found on the ground rather than in the air.,1ba92d4e-48b0-13d6-80fb-b947c0cf9f4c,410714,,4,,3,,,3,3,,1
a,True or False: Airplane pilots frequently fly planes.,01020aa0-509a-13d6-8052-8f17144fbbc1,411219,,3,3,,,,,4,,3
a,True or False: Cyanide is an ingredient in ice cream.,9043b3ce-489f-13d6-80fb-b947c0cf9f4c,410666,,,,,5,,,,,3
a,True or False: Animals breathe without thinking about it.,93200aae-489d-13d6-80fb-b947c0cf9f4c,410656,,3,3,,,,,3,,1
a,True or False: Surgeons can write.,4929d820-5078-13d6-8052-8f17144fbbc1,411190,,,,,,,3,5,,5
a,True or False: To become a doctor you have to received an advanced education.,49c1d260-5078-13d6-8052-8f17144fbbc1,411191,,,,,,,,5,,3
a,True or False: Newspapers contain news.,4543aaee-48bf-13d6-80fb-b947c0cf9f4c,410799,,,,,,,,5,,3
a,True or False: The Atlantic ocean is wet.,10e704ee-48b5-13d6-80fb-b947c0cf9f4c,410727,,,,,,,5,5,,5
a,True or False: Most kitchens are not bathrooms.,63c3b5ce-4a7a-13d6-80fb-b947c0cf9f4c,411009,,,,,,,4,4,,5
a,True or False: People often eat ceramic plates.,456b83f8-5d29-13d6-80dc-9b4eb6100834,417116,,,,,,,3,4,,3
a,True or False: You are likely to find a bathtub in a kitchen.,6226808e-4a7a-13d6-80fb-b947c0cf9f4c,411001,,,,4,,,3,4,,3
a,True or False: Someone born without eyes could still drive a car.,a8cc104e-4a57-13d6-80fb-b947c0cf9f4c,410937,,4,4,,3,,3,4,,3
a,True or False: Hot sauce is bland.,72aab82e-4892-13d6-80fb-b947c0cf9f4c,410593,,,,,,,,5,,5
