,question,guid,run_id,Time,World states,Events,Space,Physical Entities,Values and quantities,Classes and instances,Sets,label,prediction,confidence,robertascore
b,"True or False: If you have a buzz cut, you can put your hair in a pony tail to keep it out of your eyes.",9e23f760-53d5-13d6-8052-8f17144fbbc1,412277,0,3,1,1,3,0,1,1,1,0,0.4130735993,0.07429628687
b,"True or False: In most buildings, the second floor is below the first floor.",f6e223e0-550b-13d6-8052-8f17144fbbc1,413924,0,0,0,4,3,2,1,1,1,1,0.7265046835,0.007927654254
b,True or False: Cat food is probably on the menu at most restaurants.,2afad8e0-555f-13d6-8052-8f17144fbbc1,414287,0,1,0,0,3,1,3,3,1,1,0.941069603,0.0463404663
b,True or False: Most things without eyes don't cry.,0da28b4e-4894-13d6-80fb-b947c0cf9f4c,410604,0,3,1,0,3,1,2,4,0,0,0.7914453149,0.01858865337
b,"True or False: If you want an athletic physique, you should probably try to significantly increase the amount of fat on your body.",592be618-5b89-13d6-80dc-9b4eb6100834,415526,0,3,4,0,2,1,2,1,1,0,0.3010392487,0.05540327
b,True or False: A cowboy hat won't shade your face from the sun.,9f77eea0-53d5-13d6-8052-8f17144fbbc1,412345,0,1,0,1,4,0,4,1,1,0,0.4502767622,0.1198637528
b,True or False: Viruses have mouths.,77944b80-5444-13d6-8052-8f17144fbbc1,413827,0,0,0,0,3,0,4,0,1,0,0.2931871116,0.0002006523927
b,True or False: Those not yet born cannot be senior executives.,6252b20e-504b-13d6-80fb-b947c0cf9f4c,411138,4,1,4,0,1,0,4,1,0,1,0.4641599655,0.01101685276
b,"True or False: If clothing item A is worn over clothing item B, then you do not put on A before putting on B.",a4bd4620-539a-13d6-8052-8f17144fbbc1,412171,4,1,4,3,1,0,1,0,0,1,0.3215714991,0.172766945
b,True or False: Cooked noodles are not rigid.,9fd88aa0-50b3-13d6-8052-8f17144fbbc1,411312,0,2,1,0,3,0,3,1,0,1,0.4994827509,0.01704068094
b,True or False: The Atlantic Ocean is a body of water.,116387ee-48b5-13d6-80fb-b947c0cf9f4c,410729,0,0,0,1,3,0,5,2,0,0,0.6686472297,0.1258956213
b,True or False: Most doctors haven't gone to college.,1e196478-5bc1-13d6-80dc-9b4eb6100834,416272,0,0,3,0,0,0,3,4,1,0,0.2251197696,0.001655141075
b,True or False: You have to decide to take a breath before you can do it.,6c658de0-5576-13d6-8052-8f17144fbbc1,414612,1,2,5,0,0,0,2,0,1,0,0.268302381,0.0002391083097
b,True or False: Mixing cream in coffee doesn't change its color.,9fa56740-53d5-13d6-8052-8f17144fbbc1,412363,0,3,2,1,4,0,2,0,1,0,0.2150174677,0.0113076701
b,"True or False: If you are drinking beer, you are drinking something carbonated.",e75e848e-4a59-13d6-80fb-b947c0cf9f4c,410947,0,0,1,0,4,0,4,2,0,0,0.6500427723,0.1984632488
b,True or False: Internal parts of opaque objects are not visible from the outside.,03e4c8b8-5be4-13d6-80dc-9b4eb6100834,416343,0,0,0,4,4,0,2,0,0,0,0.818223238,0.01055773257
b,"True or False: Phoenix, AZ currently has both a dry climate and a rainy climate.",99bb2ae0-59bb-13d6-8052-8f17144fbbc1,415470,1,4,0,1,1,0,3,3,1,1,0.6656196713,0.002338301791
b,True or False: Most people are excited to learn they caught the flu on vacation.,9f009bc0-53d5-13d6-8052-8f17144fbbc1,412324,2,1,4,0,0,0,3,4,1,1,0.9870708585,0.1285782147
b,"True or False: To see what is on the other side of a glass window, you usually have to open it.",993fdf80-55cd-13d6-8052-8f17144fbbc1,414904,0,0,3,3,4,0,2,0,1,0,0.1700628996,0.008191554831
b,True or False: A feeling of love is the opposite of a feeling of hate.,ca69fbae-489e-13d6-80fb-b947c0cf9f4c,410659,0,0,0,0,0,0,2,4,0,0,0.807905674,0.2471930715
b,True or False: People don't like things they find disgusting.,b35b332e-48d0-13d6-80fb-b947c0cf9f4c,410806,0,1,0,0,1,0,3,3,0,0,0.9830023646,0.07022153847
b,True or False: Wearing gloves will help keep your feet from getting cold.,a04a80e0-53d5-13d6-8052-8f17144fbbc1,412392,0,1,2,0,3,0,4,1,1,0,0.3001064658,0.04024963991
b,"True or False: In a typical house, there are no rooms that have been designed for a particular purpose.",89ac9180-53d9-13d6-8052-8f17144fbbc1,412818,0,1,0,1,3,0,4,2,1,1,0.9619495273,0.02684738894
b,True or False: Sue couldn't afford the free gift because it was too expensive.,48c216e0-523f-13d6-8052-8f17144fbbc1,411533,0,1,0,0,1,3,2,1,1,0,0.01762729697,0.01646626953
b,"True or False: When changing a tire, the tire is removed after the automobile is raised with a jack.",e2689dae-4a75-13d6-80fb-b947c0cf9f4c,410991,3,1,4,1,3,0,1,0,0,0,0.7317706347,0.112451228
b,True or False: Winter coats are for summer.,00802440-536a-13d6-8052-8f17144fbbc1,412081,2,0,0,0,3,0,4,2,1,1,0.6909281015,0.04806606947
b,True or False: No utensil is a spoon.,9e38ce20-5244-13d6-8052-8f17144fbbc1,411670,0,0,0,0,3,1,3,4,1,1,0.8757892251,2.78E-05
b,True or False: Blind people cannot drive.,a911088e-4a57-13d6-80fb-b947c0cf9f4c,410938,0,0,1,0,2,0,3,2,0,0,0.8102008104,0.07829996411
b,True or False: Kitchen tools are intended to be used in preparing food or drinks.,f3d572ee-4a82-13d6-80fb-b947c0cf9f4c,411038,0,0,3,0,3,0,3,1,0,1,0.3116521537,0.1041036249
b,True or False: You don't expect ice rinks to be slippery.,a1dd2ca0-58a8-13d6-8052-8f17144fbbc1,415231,0,1,0,0,4,0,3,1,1,1,0.6977156401,0.111570573
b,True or False: Every popsicle is frozen food.,49b3a28e-4a5c-13d6-80fb-b947c0cf9f4c,410954,0,1,0,0,3,1,4,3,0,1,0.328591615,0.01212400951
b,"True or False: If A creates B, then A must exist before B.",6b0b4e80-5067-13d6-8052-8f17144fbbc1,411176,4,2,5,0,0,0,0,0,0,0,0.5043097734,0.001407290838
b,True or False: Styrofoam peanuts are too light to be used as packaging material.,1bf0e1d8-5d03-13d6-80dc-9b4eb6100834,416840,0,0,0,0,4,1,4,2,1,1,0.5340565443,0.0184470453
b,True or False: Animal skin is frequently completely transparent.,057a0eb8-5be4-13d6-80dc-9b4eb6100834,416354,1,1,0,0,4,1,3,1,1,1,0.5333650112,0.00957779823
b,True or False: At fast food restaurants you typically order at a counter or a drive-through.,e2d459c0-53a5-13d6-8052-8f17144fbbc1,412219,2,1,4,0,2,0,1,0,0,0,0.9702549577,0.07823404087
b,True or False: No spicy thing is bland.,72bedc6e-4892-13d6-80fb-b947c0cf9f4c,410594,0,0,0,0,1,1,4,4,0,0,0.980730176,0.001734531029
b,True or False: Being complimented is pleasant.,f83b2c0e-48d7-13d6-80fb-b947c0cf9f4c,410840,0,0,3,0,0,0,3,1,0,0,0.9568114281,0.0005214982768
b,True or False: People who characteristically do something are more likely to do that sort of thing than other people.,010e8dc0-509a-13d6-8052-8f17144fbbc1,411220,0,3,3,0,0,0,2,3,0,0,0.9185612202,0.009894819171
b,True or False: You light a candle by lighting the wax.,9ee74760-53d5-13d6-8052-8f17144fbbc1,412311,0,0,4,0,3,0,3,0,1,0,0.1460672468,0.1104063817
b,True or False: 180 seconds is greater than 3 weeks.,387f3ac0-5437-13d6-8052-8f17144fbbc1,413551,4,0,0,0,0,5,1,1,1,0,0.3585349023,0.009072110055
b,True or False: Chickens are birds that often perch in trees.,a6a271c0-55c7-13d6-8052-8f17144fbbc1,414787,1,1,1,1,3,0,4,4,1,1,0.5084993243,0.01918033183
b,True or False: A pocket watch is roughly the size of a golf ball.,f221e32e-4898-13d6-80fb-b947c0cf9f4c,410632,0,0,0,4,4,1,3,1,0,0,0.8032389283,0.07768241691
b,True or False: Chewing gum is something humans can do.,3ff3ccce-4a52-13d6-80fb-b947c0cf9f4c,410922,0,0,2,0,1,0,4,1,0,0,0.8066535592,0.1020645159
