part,question,guid,run_id,Time,World states,Events,Space,Physical Entities,Values and quantities,Classes and instances,Sets,,Confidence Rating
b,"True or False: If you have a buzz cut, you can put your hair in a pony tail to keep it out of your eyes.",9e23f760-53d5-13d6-8052-8f17144fbbc1,412277,,4,,,5,,,,,5
b,"True or False: In most buildings, the second floor is below the first floor.",f6e223e0-550b-13d6-8052-8f17144fbbc1,413924,,,,5,5,,,,,5
b,True or False: Cat food is probably on the menu at most restaurants.,2afad8e0-555f-13d6-8052-8f17144fbbc1,414287,,3,,,5,,4,,,5
b,True or False: Most things without eyes don't cry.,0da28b4e-4894-13d6-80fb-b947c0cf9f4c,410604,,4,,,5,,,5,,5
b,"True or False: If you want an athletic physique, you should probably try to significantly increase the amount of fat on your body.",592be618-5b89-13d6-80dc-9b4eb6100834,415526,,4,5,,,,,,,5
b,True or False: A cowboy hat won't shade your face from the sun.,9f77eea0-53d5-13d6-8052-8f17144fbbc1,412345,,3,,,5,,4,,,3
b,True or False: Viruses have mouths.,77944b80-5444-13d6-8052-8f17144fbbc1,413827,,,,,5,,4,,,5
b,True or False: Those not yet born cannot be senior executives.,6252b20e-504b-13d6-80fb-b947c0cf9f4c,411138,5,,5,,,,4,,,5
b,"True or False: If clothing item A is worn over clothing item B, then you do not put on A before putting on B.",a4bd4620-539a-13d6-8052-8f17144fbbc1,412171,5,,5,4,,,,,,5
b,True or False: Cooked noodles are not rigid.,9fd88aa0-50b3-13d6-8052-8f17144fbbc1,411312,,2,5,,5,,4,,,5
b,True or False: The Atlantic Ocean is a body of water.,116387ee-48b5-13d6-80fb-b947c0cf9f4c,410729,,,,,5,,5,,,5
b,True or False: Most doctors haven't gone to college.,1e196478-5bc1-13d6-80dc-9b4eb6100834,416272,,,5,,,,3,5,,5
b,True or False: You have to decide to take a breath before you can do it.,6c658de0-5576-13d6-8052-8f17144fbbc1,414612,,3,5,,,,3,,,5
