sentence,Time,World states,Events,Space,Physical Entities,Values and quantities,Classes and instances,Sets
"""Horses live in the sea.""",0,0,0,0,1,0,1,1
"""The dead can walk.""",0,1,0,0,1,0,1,1
"""You usually can't watch TV during a power outage.""",0,1,1,0,1,0,0,0
"""If Joy has a bachelor's degree, then she probably went to college.""",0,1,1,0,0,0,1,0
"""Pilots are more likely than farmers to fly airplanes.""",0,0,0,0,0,0,1,1
"""A cutting board can be used as a tray.""",0,0,0,1,1,0,0,1
"""A customer would like being served a glass of water with a cockroach in it.""",0,0,1,0,0,0,0,1
"""Flashlights work without being plugged in.""",0,0,0,0,1,0,1,0
"""A parking garage is larger than an automobile.""",0,0,0,1,0,0,1,0
"""Vocal cords are necessary in order to sing.""",0,0,0,0,1,0,0,0
"""Every spoon is a utensil.""",0,0,0,0,0,0,1,1
"""Buildings designed to provide shelter for humans are almost never edible.""",0,0,0,0,1,0,1,1
"""You can't drown a fish in water.""",0,0,0,0,1,0,1,0
"""Carpenters find hammers useful for driving objects into other objects.""",0,0,0,1,1,0,1,1
"""The country Argentina can cry.""",0,0,0,0,1,0,0,0
"""Wool scarves are often salad ingredients.""",0,0,0,0,1,0,1,1
"""Ice rinks are made primarily of ice.""",0,0,0,0,1,0,1,0
"""Kitchens are typically rooms dedicated to preparing food.""",0,0,1,0,0,0,1,0
"""You could play ice hockey outside in the summer.""",1,1,0,0,1,0,0,0
"""Beer does not contain fizz or bubbles.""",0,0,0,0,1,0,1,1
"""Most people like doing things that cause them discomfort.""",0,0,1,0,0,0,0,1
"""You put shoes on before socks.""",1,0,1,0,0,0,0,0
"""A cap with no brim provides lots of shade from the bright sun.""",0,0,0,0,1,0,1,0
"""The front doors of busy businesses open and close frequently.""",0,0,0,0,0,0,0,1
"""The sound of a balloon popping can be loud.""",0,0,0,0,1,0,0,0
"""You can serve orange juice in a coffee mug.""",0,0,0,1,0,0,0,1
"""Coffee mixed with cream is black.""",0,0,0,0,1,0,1,0
"""Cuddling is typically an expression of hatred.""",0,0,1,0,0,0,0,1
"""A puppy is older than an adult dog.""",1,1,0,0,0,0,1,1
"""People with buzz cuts have very long hair.""",0,0,0,0,1,0,1,0
"""If a chicken lays an egg, then the chicken existed before the egg.""",1,0,1,0,1,0,0,0
"""Generally, winter coats are warm clothing.""",0,0,0,0,0,0,1,1
"""A fish can ride a bicycle.""",0,0,0,0,1,0,0,1
"""Snakes can juggle.""",0,0,0,0,1,0,0,1
"""If you throw a wine glass against a wooden floor, it will probably shatter.""",0,0,0,0,1,0,0,0
"""Absolutely everyone likes blueberries.""",0,0,0,0,0,0,0,1
"""Ice water is colder than ice.""",0,0,0,0,1,0,0,1
"""Stabbing someone typically expresses love.""",0,0,0,0,1,0,0,1
"""If a cup contains hot coffee, then the cup is presumably right side up.""",0,0,0,1,1,0,0,0
"""An adult can walk and chew gum at the same time.""",0,0,1,0,1,0,0,0
"""People like being complimented.""",0,0,0,0,0,0,0,1
"""You can stab someone with a wet noodle.""",0,0,0,0,1,0,0,0
"""Stoves are meant to be used in cooking food.""",0,0,0,0,1,0,1,0
"""A wax candle would work even if it had no wick.""",0,0,0,0,1,0,0,0
"""If something is a free gift, you don't have to pay for it.""",0,0,0,0,0,0,1,0
"""You can use a cotton ball as a paperweight.""",0,0,0,0,1,0,0,1
"""Women typically put on makeup without a mirror.""",0,0,0,0,1,0,0,0
"""Refrigerators are used to keep things cool.""",0,0,0,0,1,0,1,0
"""A moth ball can be used as a volley ball in a pinch.""",0,0,0,0,1,0,0,1
"""You can see someone's smile even when they are wearing a surgical mask.""",0,0,0,0,1,0,0,0
"""A customer would like being offered free dessert.""",0,0,1,0,0,0,1,0
"""Every cotton ball is a lightweight, relatively small object.""",0,0,0,1,1,0,1,1
"""You typically can't see what's inside of a sealed can.""",0,0,0,1,1,0,0,0
"""A few weeks is greater than a few minutes.""",1,0,0,0,0,1,0,0
"""Grandfather clocks are bigger than pocket watches.""",0,0,0,1,0,0,1,1
"""When dining at a fast-food restaurant, you are usually seated before ordering food.""",1,0,1,0,0,0,0,0
"""If you spill grape soda on white clothes, it usually won't stain them.""",0,0,1,0,1,0,0,0
"""When Duke changed the tire on his car, he lifted the car with the jack after removing the old tire.""",1,0,1,0,1,0,0,0
