sentence,Time,World states,Events,Space,Physical Entities,Values and quantities,Classes and instances,Sets
"""The dead can walk.""",0,0,1,0,0,0,0,0
"""You usually can't watch TV during a power outage.""",1,1,1,0,1,0,1,0
"""If Joy has a bachelor's degree, then she probably went to college.""",0,0,1,0,0,0,0,0
"""Pilots are more likely than farmers to fly airplanes.""",0,0,0,0,0,0,1,1
"""A cutting board can be used as a tray.""",0,0,0,0,1,0,1,1
"""A customer would like being served a glass of water with a cockroach in it.""",0,0,1,0,1,0,1,0
"""Flashlights work without being plugged in.""",0,1,1,0,1,0,0,0
"""A parking garage is larger than an automobile.""",0,0,0,1,1,0,1,0
"""Every spoon is a utensil.""",0,0,0,0,0,0,1,1
"""Buildings designed to provide shelter for humans are almost never edible.""",0,0,0,0,1,0,0,1
"""Carpenters find hammers useful for driving objects into other objects.""",0,0,1,1,1,0,1,0
"""The country Argentina can cry.""",0,0,1,0,0,0,0,0
"""You could play ice hockey outside in the summer.""",0,0,1,0,0,0,0,0
"""You put shoes on before socks.""",0,0,1,0,1,0,1,0
"""A cap with no brim provides lots of shade from the bright sun.""",0,0,0,0,1,0,1,1
"""The front doors of busy businesses open and close frequently.""",0,0,0,0,1,0,1,1
"""The sound of a balloon popping can be loud.""",0,0,0,0,1,0,1,1
"""You can serve orange juice in a coffee mug.""",0,0,0,0,0,0,1,1
"""Coffee mixed with cream is black.""",0,0,0,0,0,0,1,1
"""Cuddling is typically an expression of hatred.""",0,0,1,0,0,0,0,0
"""A puppy is older than an adult dog.""",0,0,0,0,0,1,1,1
"""People with buzz cuts have very long hair.""",0,0,0,0,0,0,1,1
"""If a chicken lays an egg, then the chicken existed before the egg.""",1,0,1,0,0,0,1,1
"""Generally, winter coats are warm clothing.""",0,0,0,0,0,0,1,1
"""A fish can ride a bicycle.""",0,0,0,0,0,0,1,1
"""Snakes can juggle.""",0,0,0,0,0,0,1,1
"""If you throw a wine glass against a wooden floor, it will probably shatter.""",0,0,1,0,1,0,0,0
"""Absolutely everyone likes blueberries.""",0,0,0,0,0,0,1,1
"""If a cup contains hot coffee, then the cup is presumably right side up.""",0,0,0,1,0,0,0,0
"""Stoves are meant to be used in cooking food.""",0,0,0,0,0,0,1,1
"""A wax candle would work even if it had no wick.""",0,0,0,0,0,0,1,1
"""If something is a free gift, you don't have to pay for it.""",0,0,0,0,0,0,1,0
"""You can use a cotton ball as a paperweight.""",0,0,0,0,0,0,1,1
"""Women typically put on makeup without a mirror.""",0,0,1,0,0,0,1,1
"""You can see someone's smile even when they are wearing a surgical mask.""",0,0,1,0,1,0,1,1
"""Every cotton ball is a lightweight, relatively small object.""",0,0,0,0,1,0,1,1
"""A few weeks is greater than a few minutes.""",0,0,0,0,0,1,0,0
"""Grandfather clocks are bigger than pocket watches.""",0,0,0,0,1,1,1,0
"""When dining at a fast-food restaurant, you are usually seated before ordering food.""",1,0,1,0,0,0,0,0
"""If you spill grape soda on white clothes, it usually won't stain them.""",0,0,1,0,1,0,0,0
"""When Duke changed the tire on his car, he lifted the car with the jack after removing the old tire.""",0,0,1,0,1,0,1,0
"""Being sick is usually unpleasant for people.""",0,1,0,0,0,0,0,0
"""If Joy is on the first floor, and Rob is on the second floor, then Joy is above Rob.""",0,0,0,1,1,0,1,1
"""Bedroom dressers are typically used to store clothes.""",0,0,0,0,1,0,1,1
"""A human would not mind touching a burner while the stove is on.""",0,1,1,0,1,0,0,0
"""Styrofoam peanuts are often used to protect fragile objects during transport.""",0,0,1,0,1,0,1,1
"""When you encounter a bird, you expect to be able to see its heart.""",0,0,1,0,0,0,0,0
"""Newspapers contain news.""",0,0,0,0,0,0,1,1
"""Most kitchens are not bathrooms.""",0,0,0,0,1,0,1,1
"""People often eat ceramic plates.""",0,0,0,0,1,0,1,0
"""You are likely to find a bathtub in a kitchen.""",0,0,0,1,1,0,1,1
"""Wood is often used in building structures.""",0,0,0,0,1,0,1,1
"""Barack Obama was president of the United States in the year 1220.""",1,0,0,0,0,0,0,0
"""London, England is located inside a suitcase.""",0,0,0,1,1,0,1,1
"""In most buildings, the second floor is below the first floor.""",0,0,0,1,1,0,1,1
"""Cat food is probably on the menu at most restaurants.""",0,0,0,0,0,0,1,1
"""Most things without eyes don't cry.""",0,0,1,0,0,0,1,1
"""The Atlantic Ocean is a body of water.""",0,0,0,0,1,0,1,1
"""Most doctors haven't gone to college.""",0,0,1,0,0,0,0,0
"""You have to decide to take a breath before you can do it.""",1,0,1,0,0,0,0,0
"""Mixing cream in coffee doesn't change its color.""",0,0,1,0,1,0,0,0
"""If you are drinking beer, you are drinking something carbonated.""",0,0,1,0,0,0,1,1
"""Internal parts of opaque objects are not visible from the outside.""",0,0,0,0,0,0,1,1
"""Phoenix, AZ currently has both a dry climate and a rainy climate.""",1,1,0,0,0,0,0,0
"""Most people are excited to learn they caught the flu on vacation.""",0,0,1,0,0,0,0,0
"""Every popsicle is frozen food.""",0,0,0,0,1,0,1,1
"""If A creates B, then A must exist before B.""",1,0,1,0,0,0,0,0
"""At fast food restaurants you typically order at a counter or a drive-through.""",0,0,1,0,0,0,0,0
"""No spicy thing is bland.""",0,0,0,0,0,0,1,1
"""Being complimented is pleasant.""",0,0,0,0,0,0,1,1
"""People who characteristically do something are more likely to do that sort of thing than other people.""",0,0,0,0,0,0,1,1
"""You light a candle by lighting the wax.""",0,0,1,0,0,0,0,0
"""180 seconds is greater than 3 weeks.""",0,0,0,0,0,1,0,0
"""You expect to find a toilet in a kitchen.""",0,0,0,0,0,0,1,1
"""Walking on two legs is a type of swimming.""",0,0,0,0,0,0,0,1
